ERR11708459,SAMEA112885661
ERR11708460,SAMEA112885662
ERR11708461,SAMEA112885663
ERR11708462,SAMEA112885664
ERR11708463,SAMEA112885665
ERR11708464,SAMEA112885666
ERR11708465,SAMEA112885667
ERR11708466,SAMEA112885668
ERR11708467,SAMEA112885669
ERR11708468,SAMEA112885670
ERR11708469,SAMEA112885671
ERR11708470,SAMEA112885672
ERR2881738,SAMEA5071875
ERR2881739,SAMEA5071876
ERR2881740,SAMEA5071877
ERR2881741,SAMEA5071878
ERR2881742,SAMEA5071879
ERR2881743,SAMEA5071880
ERR2881744,SAMEA5071881
SRR038864,SAMN00010675
SRR038865,SAMN00010675
SRR038866,SAMN00010676
SRR038867,SAMN00010676
SRR043416,SAMN00013424
SRR043417,SAMN00013425
SRR043418,SAMN00013426
SRR043419,SAMN00013427
SRR072919,SAMN00120318
SRR10098755,SAMN12727387
SRR10098756,SAMN12727386
SRR10098757,SAMN12727385
SRR10098758,SAMN12727384
SRR10098759,SAMN12727383
SRR10098760,SAMN12727382
SRR10098761,SAMN12727381
SRR10098762,SAMN12727380
SRR10098763,SAMN12727379
SRR10098764,SAMN12727378
SRR10098765,SAMN12727377
SRR10098766,SAMN12727376
SRR10098767,SAMN12727375
SRR10098768,SAMN12727374
SRR10098769,SAMN12727373
SRR10098770,SAMN12727372
SRR10098771,SAMN12727371
SRR10098772,SAMN12727370
SRR10098773,SAMN12727369
SRR10098774,SAMN12727368
SRR10150562,SAMN12792929
SRR10150563,SAMN12792928
SRR10150564,SAMN12792927
SRR10150565,SAMN12792926
SRR10150566,SAMN12792925
SRR10150567,SAMN12792924
SRR1016229,SAMN02380568
SRR1016866,SAMN02380535
SRR10198737,SAMN12868631
SRR10198738,SAMN12868630
SRR10198739,SAMN12868629
SRR10198740,SAMN12868628
SRR10198741,SAMN12868673
SRR10198742,SAMN12868672
SRR10198743,SAMN12868627
SRR10198744,SAMN12868671
SRR10198745,SAMN12868670
SRR10198746,SAMN12868669
SRR10198747,SAMN12868668
SRR10198748,SAMN12868667
SRR10198749,SAMN12868666
SRR10198750,SAMN12868665
SRR10198751,SAMN12868664
SRR10198752,SAMN12868663
SRR10198753,SAMN12868662
SRR10198754,SAMN12868626
SRR10198755,SAMN12868661
SRR10198756,SAMN12868660
SRR10198757,SAMN12868659
SRR10198758,SAMN12868658
SRR10198759,SAMN12868657
SRR10198760,SAMN12868656
SRR10198761,SAMN12868655
SRR10198762,SAMN12868654
SRR10198763,SAMN12868653
SRR10198764,SAMN12868652
SRR10198765,SAMN12868625
SRR10198766,SAMN12868651
SRR10198767,SAMN12868650
SRR10198768,SAMN12868649
SRR10198769,SAMN12868648
SRR10198770,SAMN12868647
SRR10198771,SAMN12868646
SRR10198772,SAMN12868645
SRR10198773,SAMN12868644
SRR10198774,SAMN12868643
SRR10198775,SAMN12868642
SRR10198776,SAMN12868624
SRR10198777,SAMN12868641
SRR10198778,SAMN12868640
SRR10198779,SAMN12868639
SRR10198780,SAMN12868638
SRR10198781,SAMN12868637
SRR10198782,SAMN12868636
SRR10198783,SAMN12868635
SRR10198784,SAMN12868634
SRR10198785,SAMN12868633
SRR10198786,SAMN12868632
SRR10198787,SAMN12868623
SRR10198788,SAMN12868622
SRR10202466,SAMN12861902
SRR10202467,SAMN12861902
SRR10202468,SAMN12861902
SRR10202469,SAMN12861902
SRR10202470,SAMN12861902
SRR10202471,SAMN12861902
SRR10202472,SAMN12861902
SRR10202473,SAMN12861902
SRR10202474,SAMN12861902
SRR10202475,SAMN12861902
SRR10202476,SAMN12861902
SRR10202477,SAMN12861902
SRR10202478,SAMN12861902
SRR10202479,SAMN12861902
SRR10202480,SAMN12861902
SRR10202481,SAMN12861902
SRR10202482,SAMN12861902
SRR10202483,SAMN12861902
SRR10202484,SAMN12861902
SRR10202485,SAMN12861902
SRR10202486,SAMN12861902
SRR10202487,SAMN12861902
SRR10202488,SAMN12861902
SRR10202489,SAMN12861902
SRR10202490,SAMN12861902
SRR10202491,SAMN12861902
SRR10202492,SAMN12861902
SRR10202493,SAMN12861902
SRR10202494,SAMN12861902
SRR10202495,SAMN12861902
SRR10202496,SAMN12861902
SRR10202497,SAMN12861902
SRR10202498,SAMN12861902
SRR10202499,SAMN12861902
SRR10202500,SAMN12861902
SRR10202501,SAMN12861902
SRR10202502,SAMN12861902
SRR10202503,SAMN12861902
SRR10202504,SAMN12861902
SRR10202505,SAMN12861902
SRR10202506,SAMN12861902
SRR10202507,SAMN12861902
SRR10202508,SAMN12861902
SRR10202509,SAMN12861902
SRR10202510,SAMN12861902
SRR10202511,SAMN12861902
SRR10202512,SAMN12861902
SRR10202513,SAMN12861902
SRR10202514,SAMN12861902
SRR10202515,SAMN12861902
SRR10202516,SAMN12861902
SRR10202517,SAMN12861902
SRR10202518,SAMN12861902
SRR10202519,SAMN12861902
SRR10249824,SAMN12989345
SRR10249825,SAMN12989344
SRR10249826,SAMN12989343
SRR10249827,SAMN12989342
SRR10249828,SAMN12989341
SRR10249829,SAMN12989340
SRR10249830,SAMN12989339
SRR10249831,SAMN12989338
SRR10249832,SAMN12989337
SRR10298015,SAMN12622426
SRR10298018,SAMN12622425
SRR10298019,SAMN12622421
SRR10298020,SAMN12622423
SRR10298022,SAMN12622424
SRR10298023,SAMN12622420
SRR10303730,SAMN12622422
SRR10305130,SAMN12622420
SRR10309858,SAMN12622420
SRR10309859,SAMN12622420
SRR10309860,SAMN12622420
SRR10309861,SAMN12622420
SRR10309862,SAMN12622420
SRR10309863,SAMN12622420
SRR10309864,SAMN12622420
SRR10309865,SAMN12622420
SRR10309866,SAMN12622420
SRR10309867,SAMN12622420
SRR10309868,SAMN12622420
SRR10309869,SAMN12622420
SRR10309870,SAMN12622420
SRR10309871,SAMN12622420
SRR10309872,SAMN12622420
SRR10309873,SAMN12622420
SRR10309874,SAMN12622420
SRR10309875,SAMN12622420
SRR10309876,SAMN12622420
SRR10309877,SAMN12622420
SRR10309878,SAMN12622420
SRR10309879,SAMN12622420
SRR10337249,SAMN13104244
SRR10337250,SAMN13104243
SRR10337251,SAMN13104242
SRR10337252,SAMN13104241
SRR10337253,SAMN13104240
SRR10337254,SAMN13104239
SRR10337255,SAMN13104260
SRR10337256,SAMN13104259
SRR10337257,SAMN13104258
SRR10362746,SAMN13108101
SRR10362772,SAMN13112829
SRR10376342,SAMN13108101
SRR10382309,SAMN13108101
SRR10382315,SAMN13108101
SRR10382322,SAMN13108101
SRR10382323,SAMN13108101
SRR10382524,SAMN13108101
SRR10382525,SAMN13108101
SRR10382526,SAMN13108101
SRR10382527,SAMN13108101
SRR10382528,SAMN13108101
SRR10382529,SAMN13108101
SRR10382530,SAMN13108101
SRR10389832,SAMN13108101
SRR10389833,SAMN13108101
SRR10389834,SAMN13108101
SRR10389835,SAMN13108101
SRR10389836,SAMN13108101
SRR10389837,SAMN13108101
SRR10389838,SAMN13108101
SRR10389839,SAMN13108101
SRR10389840,SAMN13108101
SRR1049388,SAMN02380534
SRR10512153,SAMN13175302
SRR10512154,SAMN13175302
SRR10512155,SAMN13175301
SRR10512156,SAMN13175301
SRR10512157,SAMN13175301
SRR10512158,SAMN13175301
SRR10512159,SAMN13175301
SRR10512160,SAMN13175301
SRR10512161,SAMN13175302
SRR10512162,SAMN13175302
SRR10512163,SAMN13175302
SRR10512164,SAMN13175302
SRR10512165,SAMN13175302
SRR10512166,SAMN13175302
SRR10512167,SAMN13175301
SRR10512168,SAMN13175301
SRR10520209,SAMN13379533
SRR10520210,SAMN13379533
SRR10520211,SAMN13379533
SRR10520212,SAMN13379533
SRR10520213,SAMN13379533
SRR10520214,SAMN13379533
SRR10520215,SAMN13379533
SRR10520216,SAMN13379533
SRR10530611,SAMN13386940
