SRR14615497,SAMN19243751
SRR14615498,SAMN19243750
SRR14615499,SAMN19243696
SRR14615500,SAMN19243749
SRR14615501,SAMN19243748
SRR14615502,SAMN19243747
SRR14615503,SAMN19243746
SRR14615504,SAMN19243745
SRR14615505,SAMN19243744
SRR14615506,SAMN19243743
SRR14615507,SAMN19243742
SRR14615508,SAMN19243727
SRR14615509,SAMN19243726
SRR14615510,SAMN19243725
SRR14615511,SAMN19243724
SRR14615512,SAMN19243723
SRR14615513,SAMN19243722
SRR14615514,SAMN19243721
SRR14615515,SAMN19243720
SRR14615516,SAMN19243693
SRR14615517,SAMN19243719
SRR14615518,SAMN19243718
SRR14615519,SAMN19243717
SRR14615520,SAMN19243716
SRR14615521,SAMN19243715
SRR14615522,SAMN19243714
SRR14615523,SAMN19243713
SRR14615524,SAMN19243712
SRR14615525,SAMN19243711
SRR14615526,SAMN19243710
SRR14615527,SAMN19243692
SRR14615528,SAMN19243709
SRR14615529,SAMN19243708
SRR14615530,SAMN19243707
SRR14615531,SAMN19243706
SRR14615532,SAMN19243705
SRR14615533,SAMN19243704
SRR14615534,SAMN19243703
SRR14615535,SAMN19243702
SRR14615536,SAMN19243701
SRR14615537,SAMN19243700
SRR14615538,SAMN19243691
SRR14615539,SAMN19243690
SRR14615540,SAMN19243741
SRR14615541,SAMN19243740
SRR14615542,SAMN19243695
SRR14615543,SAMN19243739
SRR14615544,SAMN19243738
SRR14615545,SAMN19243737
SRR14615546,SAMN19243736
SRR14615547,SAMN19243735
SRR14615548,SAMN19243734
SRR14615549,SAMN19243733
SRR14615550,SAMN19243732
SRR14615551,SAMN19243731
SRR14615552,SAMN19243730
SRR14615553,SAMN19243694
SRR14615554,SAMN19243729
SRR14615555,SAMN19243728
SRR14663081,SAMN19355599
SRR14663082,SAMN19355598
SRR14663083,SAMN19355597
SRR14663084,SAMN19355596
SRR14663085,SAMN19355595
SRR14663086,SAMN19355594
SRR14663087,SAMN19355593
SRR14663088,SAMN19355592
SRR14663089,SAMN19355591
SRR14663090,SAMN19355590
SRR14663091,SAMN19355589
SRR14663092,SAMN19355588
SRR14698800,SAMN19473472
SRR14698801,SAMN19473471
SRR14698802,SAMN19473470
SRR14698803,SAMN19473469
SRR14698804,SAMN19473468
SRR14698805,SAMN19473467
SRR14698806,SAMN19473466
SRR14698807,SAMN19473465
SRR14698808,SAMN19473474
SRR14698809,SAMN19473473
SRR14698810,SAMN19473464
SRR14698811,SAMN19473463
SRR14744588,SAMN19588562
SRR14744589,SAMN19588561
SRR14744590,SAMN19588560
SRR14744591,SAMN19588559
SRR14745921,SAMN19322174
SRR14745922,SAMN19322173
SRR14745925,SAMN19322172
SRR14745936,SAMN19322171
SRR14745947,SAMN19322170
SRR14745958,SAMN19322169
SRR14745963,SAMN19322200
SRR14745964,SAMN19322199
SRR14745965,SAMN19322198
SRR14745966,SAMN19322197
SRR14745967,SAMN19322196
SRR14745968,SAMN19322195
SRR14745969,SAMN19322168
SRR14745970,SAMN19322194
SRR14745971,SAMN19322193
SRR14745972,SAMN19322192
SRR14745973,SAMN19322191
SRR14745974,SAMN19322190
SRR14745975,SAMN19322189
SRR14745976,SAMN19322188
SRR14745977,SAMN19322187
SRR14745978,SAMN19322186
SRR14745979,SAMN19322185
SRR14745980,SAMN19322167
SRR14745981,SAMN19322184
SRR14745982,SAMN19322183
SRR14745983,SAMN19322182
SRR14745984,SAMN19322181
SRR14745985,SAMN19322180
SRR14745986,SAMN19322179
SRR14745987,SAMN19322178
SRR14745988,SAMN19322177
SRR14745989,SAMN19322176
SRR14745990,SAMN19322175
SRR14745991,SAMN19322166
SRR14745992,SAMN19322165
SRR14920666,SAMN19882154
SRR14920667,SAMN19882153
SRR14920668,SAMN19882152
SRR14920669,SAMN19882151
SRR14920670,SAMN19882150
SRR14920671,SAMN19882149
SRR14932958,SAMN19901946
SRR14932959,SAMN19901947
SRR14932960,SAMN19901948
SRR14932961,SAMN19901949
SRR14932962,SAMN19901950
SRR14932963,SAMN19901957
SRR14932964,SAMN19901958
SRR14932965,SAMN19901959
SRR14932966,SAMN19901944
SRR14932967,SAMN19901945
SRR14932968,SAMN19901961
SRR14932969,SAMN19901962
SRR1504816,SAMN02870685
